CharacterID,Prefix,First,Middle,Nickname,Last,Suffix,Title,UsualRef,Sex,Species,Comment,LaterLast,Description,GrammarSchool,MainClub
164,Rev.,Harold,,Stinker,Pinker,,,,Male,Human,,,,,
165,,Stephanie,,Stiffy,Bing,,,,Female,Human,,Pinker,,,
166,,Lionel,,Stinker,Green,,,,Male,Human,,,,,
167,,Claude,Cattermole,Catsmeat,Potter-Pirbright,,,,Male,Human,,,,,Drones
168,,Cora,,Corky,Pirbright,,,,Female,Human,,,,,
169,Rev.,Sydney,,,Pirbright,,,,Male,Human,,,,,
170,,Oliver,Randolph,Sippy,Sipperley,,,,Male,Human,,,,,
171,,Vera,,,Sipperley,,,,Female,Human,,,,,
172,Professor,,,,Pringle,,,,Male,Human,,,,,
173,,Heloise,,,Pringle,,,,Female,Human,,,,,
174,,Jane,,,,,,,Female,Human,,,,,
175,,Gwendolen,Moon,,,,,,Female,Human,,,,,
176,,Rockmetteller,,Rocky,Todd,,,,Male,Human,,,,,
177,,Isabel,,,Rockmetteller,,,,Female,Human,,,,,
178,,Watkyn,,,Bassett,CBE,,,Male,Human,,,,,
179,,Madeline,,,Bassett,,,,Female,Human,,,,,
180,,,,,Butterfield,,,,Male,Human,,,,,
181,Major,,,,Brabazon-Plank,,,,Male,Human,,,,,
182,,D'Arcy,,Stilton,Cheesewright,,,,Male,Human,,,,,Drones
183,Sir,Roderick,,Roddy,Glossop,,,,Male,Human,,,"Bald and round-headed (the upper portion of his head is compared to the dome of St. Paul's Cathedral) with thick, black eyebrows and (usually) a severe expression of face.",,
184,Lady,,,,Glossop,,,,Female,Human,,,,,
185,,Honoria,,,Glossop,,,,Female,Human,,,,,
186,,Oswald,,,Glossop,,,,Male,Human,,,,,
187,,Roderick,,,Spode,,8th Earl of Sidcup,,Male,Human,,,"An amateur fascist dictator, designer of women's underclothing and silver expert",,
188,Mrs,,,,Wintergreen,,,,Female,Human,,,,,
189,Colonel,H.,H.,,Wintergreen,,,,Male,Human,,,,,
190,,Audrey,,,Upjohn,,,,Female,Human,,,,,
191,,Daphne,,,Braythwayt,,,,Female,Human,,,,,
192,,Aline,,,Hemmingway,,,,Female,Human,,,,,
193,,Gwladys,,,Pendlebury,,,,Female,Human,,,,,
194,,Pauline,,,Stoker,,,,Female,Human,,,,,
195,,J.,Washburn,,Stoker,,,,Male,Human,,,,,
196,,Dwight,,,Stoker,,,,Male,Human,,,,,
197,,Emerald,,,Stoker,,,,Female,Human,,,,,
198,,,,,Benstead,,,,Male,Human,,,,,
199,Lady,Cynthia,,,Wickhammersley,,,,Female,Human,,,,,
200,,Roberta,,Bobbie,Wickham,,,,Female,Human,,,Enamoured of practical jokes,,
201,Lady,,,,Wickham,,,,Female,Human,,,,,
202,,Clementina,,,,,,,Female,Human,,,,,
